Date;Place;Temp;Wind
2021-12-28 15:00:00;Minsk;-9.37;3.8
2021-12-28 18:00:00;Minsk;-10.07;3.87
2021-12-28 21:00:00;Minsk;-10.23;4.46
2021-12-29 00:00:00;Minsk;-10.29;3.8
2021-12-29 03:00:00;Minsk;-10.87;3.46
2021-12-29 06:00:00;Minsk;-11.49;3.16
2021-12-29 09:00:00;Minsk;-11.47;3.44
2021-12-29 12:00:00;Minsk;-10.01;2.75
2021-12-29 15:00:00;Minsk;-8.73;2.97
2021-12-29 18:00:00;Minsk;-10.93;2.58
2021-12-29 21:00:00;Minsk;-11.09;2.28
2021-12-30 00:00:00;Minsk;-11.31;2.51
2021-12-30 03:00:00;Minsk;-11.71;2.61
2021-12-30 06:00:00;Minsk;-10.24;3.12
2021-12-30 09:00:00;Minsk;-6.93;3.66
2021-12-30 12:00:00;Minsk;-5.02;4.45
2021-12-30 15:00:00;Minsk;-3;4.56
2021-12-30 18:00:00;Minsk;-0.82;5.65
2021-12-30 21:00:00;Minsk;0.97;6.66
2021-12-31 00:00:00;Minsk;1.05;6.57
2021-12-31 03:00:00;Minsk;1.52;6.69
2021-12-31 06:00:00;Minsk;2.11;7.37
2021-12-31 09:00:00;Minsk;1.6;7.42
2021-12-31 12:00:00;Minsk;1.25;7.76
2021-12-31 15:00:00;Minsk;0.87;6.33
2021-12-31 18:00:00;Minsk;0.48;5.39
2021-12-31 21:00:00;Minsk;-0.61;4.94
2022-01-01 00:00:00;Minsk;0.06;4.49
2022-01-01 03:00:00;Minsk;-1.4;2.43
2022-01-01 06:00:00;Minsk;-1.36;2.6
2022-01-01 09:00:00;Minsk;-2.98;5.01
2022-01-01 12:00:00;Minsk;-4.59;5.34
2022-01-01 15:00:00;Minsk;-4.84;6.06
2022-01-01 18:00:00;Minsk;-6.19;5.59
2022-01-01 21:00:00;Minsk;-6.81;4.88
2022-01-02 00:00:00;Minsk;-6.77;4.89
2022-01-02 03:00:00;Minsk;-6.46;4.72
2022-01-02 06:00:00;Minsk;-6.7;3.93
2022-01-02 09:00:00;Minsk;-7.9;2.86
2022-01-02 12:00:00;Minsk;-6.46;2.06
2021-12-28 15:00:00;Moscow;-9.77;1.06
2021-12-28 18:00:00;Moscow;-14.16;1.05
2021-12-28 21:00:00;Moscow;-18.71;1.35
2021-12-29 00:00:00;Moscow;-19.87;1.34
2021-12-29 03:00:00;Moscow;-19.79;1.33
2021-12-29 06:00:00;Moscow;-18.66;1.46
2021-12-29 09:00:00;Moscow;-17.5;1.96
2021-12-29 12:00:00;Moscow;-13.67;2.81
2021-12-29 15:00:00;Moscow;-12.89;2.72
2021-12-29 18:00:00;Moscow;-16.31;2.69
2021-12-29 21:00:00;Moscow;-16.35;1.96
2021-12-30 00:00:00;Moscow;-15.68;2.01
2021-12-30 03:00:00;Moscow;-16.27;1.43
2021-12-30 06:00:00;Moscow;-15.1;1.57
2021-12-30 09:00:00;Moscow;-14.22;1.64
2021-12-30 12:00:00;Moscow;-11.11;1.9
2021-12-30 15:00:00;Moscow;-10.02;1.9
2021-12-30 18:00:00;Moscow;-11.99;2.07
2021-12-30 21:00:00;Moscow;-9.7;2.6
2021-12-31 00:00:00;Moscow;-9.48;2.57
2021-12-31 03:00:00;Moscow;-9.24;2.47
2021-12-31 06:00:00;Moscow;-5.4;4.06
2021-12-31 09:00:00;Moscow;-4.68;4.21
2021-12-31 12:00:00;Moscow;-3.06;4
2021-12-31 15:00:00;Moscow;-2.31;3.11
2021-12-31 18:00:00;Moscow;-2.95;2.47
2021-12-31 21:00:00;Moscow;-1.55;3.07
2022-01-01 00:00:00;Moscow;-1.63;5.5
2022-01-01 03:00:00;Moscow;-3.17;5.05
2022-01-01 06:00:00;Moscow;-3.35;3.98
2022-01-01 09:00:00;Moscow;-5.6;5.63
2022-01-01 12:00:00;Moscow;-8.26;6.03
2022-01-01 15:00:00;Moscow;-9.1;6.13
2022-01-01 18:00:00;Moscow;-8.79;6.28
2022-01-01 21:00:00;Moscow;-8.42;6.64
2022-01-02 00:00:00;Moscow;-8.5;6.65
2022-01-02 03:00:00;Moscow;-8.93;6.51
2022-01-02 06:00:00;Moscow;-9.19;6.57
2022-01-02 09:00:00;Moscow;-9.31;6.66
2022-01-02 12:00:00;Moscow;-8.94;6.24
2021-12-28 15:00:00;London;9.37;10.15
2021-12-28 18:00:00;London;9.72;7.45
2021-12-28 21:00:00;London;9.23;6.59
2021-12-29 00:00:00;London;8.16;4.99
2021-12-29 03:00:00;London;7.56;3.15
2021-12-29 06:00:00;London;7.88;2.9
2021-12-29 09:00:00;London;8.03;2.44
2021-12-29 12:00:00;London;8.8;1.93
2021-12-29 15:00:00;London;12.12;5.29
2021-12-29 18:00:00;London;14.06;7.4
2021-12-29 21:00:00;London;12.35;6.21
2021-12-30 00:00:00;London;13.23;5.29
2021-12-30 03:00:00;London;13.14;6.06
2021-12-30 06:00:00;London;12.79;5.32
2021-12-30 09:00:00;London;13.3;5.7
2021-12-30 12:00:00;London;13.17;5.91
2021-12-30 15:00:00;London;13.34;5.7
2021-12-30 18:00:00;London;13.37;5.03
2021-12-30 21:00:00;London;13.21;4.75
2021-12-31 00:00:00;London;13.13;5.77
2021-12-31 03:00:00;London;12.21;5.73
2021-12-31 06:00:00;London;11.94;5.54
2021-12-31 09:00:00;London;12.11;6.71
2021-12-31 12:00:00;London;12.5;6.11
2021-12-31 15:00:00;London;13.43;5.83
2021-12-31 18:00:00;London;13.75;5.72
2021-12-31 21:00:00;London;12.29;4.04
2022-01-01 00:00:00;London;11.55;3.52
2022-01-01 03:00:00;London;11.11;3.02
2022-01-01 06:00:00;London;11.34;2.53
2022-01-01 09:00:00;London;10.97;2.11
2022-01-01 12:00:00;London;10.96;3.27
2022-01-01 15:00:00;London;13.19;4.49
2022-01-01 18:00:00;London;12.59;4.49
2022-01-01 21:00:00;London;11.29;4.38
2022-01-02 00:00:00;London;11.09;3.38
2022-01-02 03:00:00;London;11.37;2.68
2022-01-02 06:00:00;London;11.77;3.46
2022-01-02 09:00:00;London;11.62;4.29
2022-01-02 12:00:00;London;12.15;5.91
2021-12-28 15:00:00;Paris;11.71;7.92
2021-12-28 18:00:00;Paris;11.49;8.23
2021-12-28 21:00:00;Paris;10.82;7.62
2021-12-29 00:00:00;Paris;10.33;6.11
2021-12-29 03:00:00;Paris;9.16;4.6
2021-12-29 06:00:00;Paris;9.41;3.04
2021-12-29 09:00:00;Paris;9.95;4.34
2021-12-29 12:00:00;Paris;12.31;4.56
2021-12-29 15:00:00;Paris;13.77;5.27
2021-12-29 18:00:00;Paris;14.13;4.89
2021-12-29 21:00:00;Paris;14.23;5.49
2021-12-30 00:00:00;Paris;14.21;6.1
2021-12-30 03:00:00;Paris;14.11;5.35
2021-12-30 06:00:00;Paris;14.05;4.91
2021-12-30 09:00:00;Paris;13.65;4.62
2021-12-30 12:00:00;Paris;13.21;4.29
2021-12-30 15:00:00;Paris;13.61;3.62
2021-12-30 18:00:00;Paris;13.51;3.21
2021-12-30 21:00:00;Paris;13;2.89
2021-12-31 00:00:00;Paris;12.03;2.44
2021-12-31 03:00:00;Paris;10.86;2.44
2021-12-31 06:00:00;Paris;10.09;2.19
2021-12-31 09:00:00;Paris;9.46;2.38
2021-12-31 12:00:00;Paris;9.67;2.53
2021-12-31 15:00:00;Paris;12.95;2.6
2021-12-31 18:00:00;Paris;13.21;2.18
2021-12-31 21:00:00;Paris;11.39;1.67
2022-01-01 00:00:00;Paris;10.66;1.27
2022-01-01 03:00:00;Paris;10.02;1.62
2022-01-01 06:00:00;Paris;9.68;1.56
2022-01-01 09:00:00;Paris;8.94;1.93
2022-01-01 12:00:00;Paris;9.04;1.9
2022-01-01 15:00:00;Paris;12.36;2.33
2022-01-01 18:00:00;Paris;12.34;1.93
2022-01-01 21:00:00;Paris;10.61;1.81
2022-01-02 00:00:00;Paris;9.61;1.78
2022-01-02 03:00:00;Paris;9.36;1.83
2022-01-02 06:00:00;Paris;9.08;1.87
2022-01-02 09:00:00;Paris;8.79;2.21
2022-01-02 12:00:00;Paris;9.17;1.69
2021-12-28 15:00:00;Kyiv;-5.64;4.8
2021-12-28 18:00:00;Kyiv;-5.88;5.27
2021-12-28 21:00:00;Kyiv;-6.13;5.22
2021-12-29 00:00:00;Kyiv;-6.16;4.77
2021-12-29 03:00:00;Kyiv;-6.57;3.82
2021-12-29 06:00:00;Kyiv;-7.12;3.54
2021-12-29 09:00:00;Kyiv;-7.57;2.65
2021-12-29 12:00:00;Kyiv;-6.18;1.88
2021-12-29 15:00:00;Kyiv;-5.21;1.85
2021-12-29 18:00:00;Kyiv;-7.04;1.22
2021-12-29 21:00:00;Kyiv;-7.63;0.33
2021-12-30 00:00:00;Kyiv;-7.95;0.66
2021-12-30 03:00:00;Kyiv;-8.16;0.84
2021-12-30 06:00:00;Kyiv;-8.5;0.86
2021-12-30 09:00:00;Kyiv;-8.54;1.42
2021-12-30 12:00:00;Kyiv;-4.79;2.12
2021-12-30 15:00:00;Kyiv;-3.17;2.12
2021-12-30 18:00:00;Kyiv;-2.87;2.51
2021-12-30 21:00:00;Kyiv;-2.23;3.12
2021-12-31 00:00:00;Kyiv;-0.9;4.19
2021-12-31 03:00:00;Kyiv;0.25;5.16
2021-12-31 06:00:00;Kyiv;1.37;5.19
2021-12-31 09:00:00;Kyiv;2.5;5.75
2021-12-31 12:00:00;Kyiv;2.91;5.8
2021-12-31 15:00:00;Kyiv;2.72;6.06
2021-12-31 18:00:00;Kyiv;2.04;5.95
2021-12-31 21:00:00;Kyiv;1.67;5.9
2022-01-01 00:00:00;Kyiv;1.53;4.12
2022-01-01 03:00:00;Kyiv;-0.33;3.29
2022-01-01 06:00:00;Kyiv;-0.46;2.41
2022-01-01 09:00:00;Kyiv;-0.21;1.18
2022-01-01 12:00:00;Kyiv;0.24;0.46
2022-01-01 15:00:00;Kyiv;0.06;3.83
2022-01-01 18:00:00;Kyiv;-1.53;6.92
2022-01-01 21:00:00;Kyiv;-4.59;6.27
2022-01-02 00:00:00;Kyiv;-5.48;5.52
2022-01-02 03:00:00;Kyiv;-5.59;5.57
2022-01-02 06:00:00;Kyiv;-5.57;6.08
2022-01-02 09:00:00;Kyiv;-6.12;5.49
2022-01-02 12:00:00;Kyiv;-4.92;5.29
2021-12-28 15:00:00;Oslo;-4.61;1.15
2021-12-28 18:00:00;Oslo;-6.58;1.57
2021-12-28 21:00:00;Oslo;-8.24;1.67
2021-12-29 00:00:00;Oslo;-9.53;1.63
2021-12-29 03:00:00;Oslo;-9.48;1.5
2021-12-29 06:00:00;Oslo;-9.46;1.26
2021-12-29 09:00:00;Oslo;-9.51;1.15
